Date,Bitcoin,Dogecoin,Etherium
2021-05-08,58803.77734375,0.6364390254020691,3902.647705078125
2021-05-09,58232.31640625,0.5700700283050537,3928.8447265625
2021-05-10,55859.796875,0.4499639868736267,3952.2939453125
2021-05-11,56704.57421875,0.4952310025691986,4168.701171875
2021-05-12,49150.53515625,0.3853760063648224,3785.8486328125
2021-05-13,49716.19140625,0.4903739988803863,3715.1484375
2021-05-14,49880.53515625,0.5596039891242981,4079.057373046875
2021-05-15,46760.1875,0.507972002029419,3638.1220703125
2021-05-16,46456.05859375,0.5148950219154358,3587.506103515625
2021-05-17,43537.51171875,0.4878920018672943,3282.397705078125
2021-05-18,42909.40234375,0.4761149883270263,3380.070068359375
2021-05-19,37002.44140625,0.3331229984760284,2460.67919921875
2021-05-20,40782.73828125,0.400193989276886,2784.294189453125
2021-05-21,37304.69140625,0.3593820035457611,2430.621337890625
2021-05-22,37536.6328125,0.3423709869384765,2295.70556640625
2021-05-23,34770.58203125,0.3080709874629974,2109.579833984375
2021-05-24,38705.98046875,0.3661620020866394,2643.591064453125
2021-05-25,38402.22265625,0.3463020026683807,2706.62890625
2021-05-26,39294.19921875,0.3536930084228515,2888.69873046875
2021-05-27,38436.96875,0.3329449892044067,2736.488525390625
2021-05-28,35697.60546875,0.3112049996852875,2419.90625
2021-05-29,34616.06640625,0.3031100034713745,2279.51416015625
2021-05-30,35678.12890625,0.3022240102291107,2390.305419921875
2021-05-31,37332.85546875,0.3258099853992462,2714.9453125
2021-06-01,36684.92578125,0.3700770139694214,2633.518310546875
2021-06-02,37575.1796875,0.4233739972114563,2706.125
2021-06-03,39208.765625,0.3999629914760589,2855.12646484375
2021-06-04,36894.40625,0.3763230144977569,2688.195068359375
2021-06-05,35551.95703125,0.3721770048141479,2630.576904296875
2021-06-06,35862.37890625,0.3718070089817047,2715.0927734375
2021-06-07,33560.70703125,0.3310500085353851,2590.26318359375
2021-06-08,33472.6328125,0.327686995267868,2517.438720703125
2021-06-09,37345.12109375,0.3433310091495514,2608.26708984375
